table,column,sqlite_type,is_pk,total_rows,non_null,missing,missing_pct,unique,min,max,mean,std,avg_len,most_common,most_common_pct,pct_true,json_parseable_pct,json_nonempty_pct
garden,background_image,VARCHAR(200),False,1,0,1,100.0,0,,,,,,,,,,
garden,annotations,TEXT,False,1,1,0,0.0,1,,,,,207.0,"[{""id"": ""80df2544-8492-4b70-b…",100.0,,,
garden,first_frost_date,DATE,False,1,1,0,0.0,1,,,,,,2026-10-26,100.0,,,
garden,frost_free,BOOLEAN,False,1,1,0,0.0,1,,,,,,0,100.0,,,
garden,frost_station_id,VARCHAR(20),False,1,1,0,0.0,1,,,,,11.0,USW00003761,100.0,,,
garden,frost_station_name,VARCHAR(100),False,1,1,0,0.0,1,,,,,19.0,"AVONDALE 2 N, PA US",100.0,,,
garden,frost_station_distance_km,FLOAT,False,1,1,0,0.0,1,10.7,10.7,10.7,0.0,,10.7,100.0,,,
garden,last_frost_dates_json,TEXT,False,1,1,0,0.0,1,,,,,144.0,"{""10%"": ""05/03"", ""20%"": ""04/2…",100.0,,,
garden,first_frost_dates_json,TEXT,False,1,1,0,0.0,1,,,,,144.0,"{""10%"": ""10/11"", ""20%"": ""10/1…",100.0,,,
garden_bed,id,INTEGER,True,6,6,0,0.0,6,2.0,7.0,4.5,1.87,,,,,,
garden_bed,name,VARCHAR(100),False,6,6,0,0.0,6,,,,,7.0,bed2,16.7,,,
garden_bed,description,TEXT,False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,location,VARCHAR(200),False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,garden_id,INTEGER,False,6,6,0,0.0,1,,,,,,1,100.0,100.0,,
garden_bed,width_ft,FLOAT,False,6,6,0,0.0,3,4.0,8.0,6.33,1.97,,8.0,50.0,,,
garden_bed,height_ft,FLOAT,False,6,6,0,0.0,2,4.0,6.0,4.33,0.82,,4.0,83.3,,,
garden_bed,depth_ft,FLOAT,False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,pos_x,FLOAT,False,6,6,0,0.0,3,2.0,14.0,4.83,4.92,,2.0,66.7,,,
garden_bed,pos_y,FLOAT,False,6,6,0,0.0,5,1.0,14.0,8.5,5.82,,13.0,33.3,,,
garden_bed,soil_notes,TEXT,False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,soil_ph,FLOAT,False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,clay_pct,FLOAT,False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,compost_pct,FLOAT,False,6,0,6,100.0,0,,,,,,,,,,
garden_bed,sand_pct,FLOAT,False,6,0,6,100.0,0,,,,,,,,,,
plant,id,INTEGER,True,25,25,0,0.0,25,2.0,26.0,14.0,7.36,,,,,,
plant,name,VARCHAR(100),False,25,25,0,0.0,14,,,,,6.6,Onion,28.0,,,
plant,type,VARCHAR(100),False,25,21,4,16.0,4,,,,,5.9,herb,57.1,,,
plant,notes,TEXT,False,25,2,23,92.0,1,,,,,0.0,,100.0,,,
plant,planted_date,DATE,False,25,3,22,88.0,3,,,,,,2026-03-25,33.3,,,
plant,transplant_date,DATE,False,25,0,25,100.0,0,,,,,,,,,,
plant,expected_harvest,DATE,False,25,0,25,100.0,0,,,,,,,,,,
plant,status,VARCHAR(20),False,25,25,0,0.0,2,,,,,7.9,planning,88.0,,,
plant,library_id,INTEGER,False,25,23,2,8.0,13,8.0,6681.0,725.35,1966.42,,21.0,30.4,,,
plant,garden_id,INTEGER,False,25,5,20,80.0,1,,,,,,1.0,100.0,100.0,,
plant_library,id,INTEGER,True,9381,9381,0,0.0,9381,1.0,9381.0,4691.0,2708.21,,,,,,
plant_library,name,VARCHAR(100),False,9381,9381,0,0.0,9003,,,,,15.5,Passion Flower,0.1,,,
plant_library,scientific_name,VARCHAR(200),False,9381,9381,0,0.0,9143,,,,,18.7,Capsicum annuum,0.2,,,
plant_library,perenual_id,INTEGER,False,9381,492,8889,94.8,492,1.0,589.0,257.72,158.61,,180.0,0.2,,,
plant_library,image_filename,VARCHAR(100),False,9381,8360,1021,10.9,8360,,,,,19.9,1_wikimedia_1.jpg,0.0,,,
plant_library,type,VARCHAR(50),False,9381,427,8954,95.4,3,,,,,5.2,plant,92.0,,,
plant_library,spacing_in,INTEGER,False,9381,101,9280,98.9,20,1.0,354.0,23.72,59.61,,1.0,28.7,,,
plant_library,sunlight,VARCHAR(50),False,9381,8682,699,7.5,4,,,,,8.0,Full sun,99.8,,,
plant_library,water,VARCHAR(50),False,9381,5393,3988,42.5,3,,,,,7.9,Moderate,97.7,,,
plant_library,days_to_germination,INTEGER,False,9381,34,9347,99.6,7,5.0,21.0,9.56,4.01,,7.0,47.1,,,
plant_library,days_to_harvest,INTEGER,False,9381,38,9343,99.6,14,25.0,240.0,65.79,35.59,,75.0,13.2,,,
plant_library,notes,TEXT,False,9381,127,9254,98.6,67,,,,,63.3,Direct seed outdoors,15.7,,,
plant_library,difficulty,VARCHAR(20),False,9381,43,9338,99.5,3,,,,,5.7,Easy,65.1,,,
plant_library,min_zone,INTEGER,False,9381,6025,3356,35.8,11,1.0,11.0,5.99,2.28,,4.0,22.3,,,
plant_library,max_zone,INTEGER,False,9381,6025,3356,35.8,13,1.0,13.0,9.44,1.57,,9.0,29.2,,,
plant_library,temp_min_f,INTEGER,False,9381,44,9337,99.5,13,10.0,65.0,37.98,14.66,,25.0,18.2,,,
plant_library,temp_max_f,INTEGER,False,9381,44,9337,99.5,6,70.0,95.0,84.89,7.35,,85.0,29.5,,,
plant_library,soil_ph_min,FLOAT,False,9381,2297,7084,75.5,36,3.0,8.0,5.98,1.07,,7.0,20.4,,,
plant_library,soil_ph_max,FLOAT,False,9381,2297,7084,75.5,44,4.0,10.0,7.33,0.82,,7.5,29.1,,,
plant_library,soil_type,VARCHAR(200),False,9381,8544,837,8.9,51,,,,,31.4,"Light (sandy), Medium, Heavy …",74.7,,,
plant_library,good_neighbors,TEXT,False,9381,43,9338,99.5,39,,,,,48.1,"[""Bean"", ""Spinach"", ""Lettuce""…",7.0,,100.0,100.0
plant_library,bad_neighbors,TEXT,False,9381,43,9338,99.5,38,,,,,32.1,"[""Brassicas"", ""Fennel"", ""Garl…",7.0,,100.0,100.0
plant_library,sow_indoor_weeks,INTEGER,False,9381,25,9356,99.7,6,3.0,12.0,7.84,2.75,,8.0,32.0,,,
plant_library,direct_sow_offset,INTEGER,False,9381,28,9353,99.7,6,-20.0,2.0,-2.57,4.35,,-4.0,32.1,,,
plant_library,transplant_offset,INTEGER,False,9381,28,9353,99.7,5,-4.0,3.0,-0.11,2.22,,2.0,35.7,,,
plant_library,how_to_grow,TEXT,False,9381,43,9338,99.5,39,,,,,641.6,"{""starting"": ""Plant bare-root…",7.0,,100.0,100.0
plant_library,faqs,TEXT,False,9381,43,9338,99.5,39,,,,,451.6,"[{""q"": ""June-bearing vs everb…",7.0,,100.0,100.0
plant_library,nutrition,TEXT,False,9381,3734,5647,60.2,706,,,,,339.8,"{""serving_size"": ""100g"", ""cal…",2.2,,100.0,100.0
plant_library,permapeople_id,INTEGER,False,9381,8972,409,4.4,8972,1.0,9114.0,4516.2,2601.49,,9092.0,0.0,,,
plant_library,permapeople_link,VARCHAR(200),False,9381,8972,409,4.4,8972,,,,,36.6,/plants/solanum-lycopersicum-…,0.0,,,
plant_library,permapeople_description,TEXT,False,9381,641,8740,93.2,628,,,,,901.2,"""""",1.4,,,
plant_library,family,VARCHAR(100),False,9381,9199,182,1.9,354,,,,,13.4,Rosaceae,8.1,,,
plant_library,layer,VARCHAR(100),False,9381,4705,4676,49.8,11,,,,,6.4,Shrubs,42.1,,,
plant_library,edible_parts,VARCHAR(200),False,9381,6104,3277,34.9,271,,,,,10.2,Fruit,21.0,,,
plant_library,openfarm_id,VARCHAR(30),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,openfarm_slug,VARCHAR(100),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,trefle_id,INTEGER,False,9381,8723,658,7.0,7460,2.0,508779.0,180273.53,107931.51,,267588.0,0.2,,,
plant_library,trefle_slug,VARCHAR(100),False,9381,8723,658,7.0,7460,,,,,18.3,capsicum-annuum,0.2,,,
plant_library,toxicity,VARCHAR(20),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,duration,VARCHAR(50),False,9381,1,9380,100.0,1,,,,,9.0,perennial,100.0,,,
plant_library,ligneous_type,VARCHAR(50),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,growth_habit,VARCHAR(100),False,9381,3831,5550,59.2,43,,,,,9.4,Forb/herb,44.8,,,
plant_library,growth_form,VARCHAR(100),False,9381,1068,8313,88.6,9,,,,,11.5,Single Stem,26.4,,,
plant_library,growth_rate,VARCHAR(50),False,9381,1072,8309,88.6,3,,,,,6.0,Rapid,43.1,,,
plant_library,nitrogen_fixation,VARCHAR(30),False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,vegetable,BOOLEAN,False,9381,7382,1999,21.3,2,,,,,,0.0,96.4,,,
plant_library,observations,TEXT,False,9381,8313,1068,11.4,4372,,,,,28.3,New Zealand,0.9,,,
plant_library,average_height_cm,INTEGER,False,9381,2,9379,100.0,1,30.0,30.0,30.0,0.0,,30.0,100.0,,,
plant_library,maximum_height_cm,INTEGER,False,9381,0,9381,100.0,0,,,,,,,,,,
plant_library,spread_cm,INTEGER,False,9381,65,9316,99.3,17,0.0,800.0,79.4,157.78,,30.0,49.2,,,
plant_library,row_spacing_cm,INTEGER,False,9381,67,9314,99.3,17,0.0,900.0,56.54,166.87,,2.0,25.4,,,
plant_library,minimum_root_depth_cm,INTEGER,False,9381,0,9381,100.0,0,,,,,,,,,,
